SALESORDERID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,FISCVARIANT,FISCALYEARPERIOD,NOTEID,PARTNERID,SALESORG,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
0500000000,0000000004,2018-01-11,0000000004,2018-01-16,K4,2018001,,0100000022,APJ,USD,13587,11888.625,1698.375,C,C,C
0500000001,0000000002,2018-01-12,0000000002,2018-01-15,K4,2018001,,0100000026,EMEA,USD,12622,11044.25,1577.75,C,C,C
0500000002,0000000005,2018-01-15,0000000005,2018-01-20,K4,2018001,,0100000018,APJ,USD,45655,39948.125,5706.875,C,C,C
0500000003,0000000003,2018-01-15,0000000003,2018-01-20,K4,2018001,,0100000009,EMEA,USD,101786,89062.75,12723.25,C,C,C
0500000004,0000000008,2018-01-16,0000000008,2018-01-17,K4,2018001,,0100000025,EMEA,USD,71684,62723.5,8960.5,C,C,C
0500000005,0000000008,2018-01-16,0000000008,2018-01-19,K4,2018001,,0100000008,EMEA,USD,104213,91186.375,13026.625,C,C,C
0500000006,0000000003,2018-01-17,0000000003,2018-01-20,K4,2018001,,0100000038,EMEA,USD,173987,152238.625,21748.375,C,C,C
0500000007,0000000004,2018-01-19,0000000004,2018-01-21,K4,2018001,,0100000020,APJ,USD,1398,1223.25,174.75,C,C,C
0500000008,0000000003,2018-01-20,0000000003,2018-01-22,K4,2018001,,0100000028,EMEA,USD,127803,111827.625,15975.375,C,C,C
0500000009,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018001,,0100000021,APJ,USD,79101,69213.375,9887.625,C,C,C
0500000010,0000000001,2018-01-24,0000000001,2018-01-26,K4,2018001,,0100000004,AMER,USD,10322,9031.75,1290.25,C,C,C
0500000011,0000000004,2018-01-27,0000000004,2018-01-30,K4,2018001,,0100000020,APJ,USD,99421,86993.375,12427.625,C,C,C
0500000012,0000000004,2018-01-30,0000000004,2018-02-04,K4,2018001,,0100000022,APJ,USD,15630,13676.25,1953.75,C,C,C
0500000013,0000000011,2018-02-02,0000000011,2018-02-05,K4,2018002,,0100000031,AMER,USD,70162,61391.75,8770.25,C,C,C
0500000014,0000000011,2018-02-03,0000000011,2018-02-05,K4,2018002,,0100000033,AMER,USD,32734,28642.25,4091.75,C,C,C
0500000015,0000000010,2018-02-04,0000000010,2018-02-09,K4,2018002,,0100000032,AMER,USD,21194,18544.75,2649.25,C,C,C
0500000016,0000000008,2018-02-05,0000000008,2018-02-10,K4,2018002,,0100000025,EMEA,USD,40691,35604.625,5086.375,C,C,C
0500000017,0000000013,2018-02-06,0000000013,2018-02-11,K4,2018002,,0100000030,AMER,USD,75228,65824.5,9403.5,C,C,C
0500000018,0000000001,2018-02-06,0000000001,2018-02-07,K4,2018002,,0100000034,AMER,USD,2871,2512.125,358.875,C,C,C
0500000019,0000000012,2018-02-07,0000000012,2018-02-10,K4,2018002,,0100000034,AMER,USD,27515,24075.625,3439.375,C,C,C
0500000020,0000000011,2018-02-09,0000000011,2018-02-12,K4,2018002,,0100000001,AMER,USD,57880,50645,7235,C,C,C
0500000021,0000000007,2018-02-09,0000000007,2018-02-12,K4,2018002,,0100000001,AMER,USD,379,331.625,47.375,C,C,C
0500000022,0000000003,2018-02-10,0000000003,2018-02-14,K4,2018002,,0100000011,EMEA,USD,6950,6081.25,868.75,C,C,C
0500000023,0000000003,2018-02-13,0000000003,2018-02-17,K4,2018002,,0100000012,EMEA,USD,85808,75082,10726,C,C,C
0500000024,0000000004,2018-02-13,0000000004,2018-02-14,K4,2018002,,0100000015,APJ,USD,95368,83447,11921,C,C,C
0500000025,0000000002,2018-02-14,0000000002,2018-02-16,K4,2018002,,0100000010,EMEA,USD,55575,48628.125,6946.875,C,C,C
0500000026,0000000002,2018-02-15,0000000002,2018-02-20,K4,2018002,,0100000012,EMEA,USD,85918,75178.25,10739.75,C,C,C
0500000027,0000000005,2018-02-18,0000000005,2018-02-21,K4,2018002,,0100000016,APJ,USD,104374,91327.25,13046.75,C,C,C
0500000028,0000000004,2018-02-19,0000000004,2018-02-23,K4,2018002,,0100000019,APJ,USD,70930,62063.75,8866.25,C,C,C
0500000029,0000000005,2018-02-20,0000000005,2018-02-22,K4,2018002,,0100000020,APJ,USD,95673,83713.875,11959.125,C,C,C
0500000030,0000000008,2018-02-22,0000000008,2018-02-26,K4,2018002,,0100000028,EMEA,USD,76022,66519.25,9502.75,C,C,C
0500000031,0000000002,2018-02-23,0000000002,2018-02-25,K4,2018002,,0100000011,EMEA,USD,49552,43358,6194,C,C,C
0500000032,0000000009,2018-02-23,0000000009,2018-02-28,K4,2018002,,0100000030,AMER,USD,57255,50098.125,7156.875,C,C,C
0500000033,0000000004,2018-02-24,0000000004,2018-02-28,K4,2018002,,0100000023,APJ,USD,73179,64031.625,9147.375,C,C,C
0500000034,0000000004,2018-02-27,0000000004,2018-03-03,K4,2018002,,0100000021,APJ,USD,30737,26894.875,3842.125,C,C,C
0500000035,0000000014,2018-03-01,0000000014,2018-03-02,K4,2018003,,0100000004,AMER,USD,50897,44534.875,6362.125,C,C,C
0500000036,0000000002,2018-03-02,0000000002,2018-03-05,K4,2018003,,0100000010,EMEA,USD,96759,84664.125,12094.875,C,C,C
0500000037,0000000008,2018-03-03,0000000008,2018-03-08,K4,2018003,,0100000038,EMEA,USD,6048,5292,756,C,C,C
0500000038,0000000009,2018-03-04,0000000009,2018-03-05,K4,2018003,,0100000001,AMER,USD,46443,40637.625,5805.375,C,C,C
0500000039,0000000002,2018-03-05,0000000002,2018-03-06,K4,2018003,,0100000007,EMEA,USD,13248,11592,1656,C,C,C
0500000040,0000000008,2018-03-06,0000000008,2018-03-11,K4,2018003,,0100000005,EMEA,USD,43638,38183.25,5454.75,C,C,C
0500000041,0000000008,2018-03-07,0000000008,2018-03-08,K4,2018003,,0100000009,EMEA,USD,29100,25462.5,3637.5,C,C,C
0500000042,0000000006,2018-03-10,0000000006,2018-03-14,K4,2018003,,0100000025,EMEA,USD,31474,27539.75,3934.25,C,C,C
0500000043,0000000006,2018-03-11,0000000006,2018-03-13,K4,2018003,,0100000039,EMEA,USD,35479,31044.125,4434.875,C,C,C
0500000044,0000000004,2018-03-14,0000000004,2018-03-17,K4,2018003,,0100000021,APJ,USD,1266,1107.75,158.25,C,C,C
0500000045,0000000002,2018-03-16,0000000002,2018-03-20,K4,2018003,,0100000014,EMEA,USD,9000,7875,1125,C,C,C
0500000046,0000000004,2018-03-19,0000000004,2018-03-21,K4,2018003,,0100000024,APJ,USD,95561,83615.875,11945.125,C,C,C
0500000047,0000000008,2018-03-20,0000000008,2018-03-22,K4,2018003,,0100000038,EMEA,USD,2288,2002,286,C,C,C
0500000048,0000000006,2018-03-21,0000000006,2018-03-26,K4,2018003,,0100000014,EMEA,USD,60113,52598.875,7514.125,C,C,C
0500000049,0000000008,2018-03-21,0000000008,2018-03-25,K4,2018003,,0100000009,EMEA,USD,75646,66190.25,9455.75,C,C,C
0500000050,0000000004,2018-03-24,0000000004,2018-03-26,K4,2018003,,0100000020,APJ,USD,56388,49339.5,7048.5,C,C,C
0500000051,0000000004,2018-03-27,0000000004,2018-04-01,K4,2018003,,0100000021,APJ,USD,21980,19232.5,2747.5,C,C,C
0500000052,0000000005,2018-03-28,0000000005,2018-04-01,K4,2018003,,0100000022,APJ,USD,15643,13687.625,1955.375,C,C,C
0500000053,0000000002,2018-03-29,0000000002,2018-03-31,K4,2018003,,0100000039,EMEA,USD,23778,20805.75,2972.25,C,C,C
0500000054,0000000009,2018-03-30,0000000009,2018-04-03,K4,2018003,,0100000030,AMER,USD,37718,33003.25,4714.75,C,C,C
0500000055,0000000003,2018-04-01,0000000003,2018-04-04,K4,2018004,,0100000014,EMEA,USD,70615,61788.125,8826.875,C,C,C
0500000056,0000000001,2018-04-03,0000000001,2018-04-04,K4,2018004,,0100000033,AMER,USD,98082,85821.75,12260.25,C,C,C
